X,Y
1,22.1864595546204
2,15.1551596010479
3,42.1025181406712
4,25.0355589380142
5,38.9640920138791
6,33.8749386608614
7,48.5852548996919
8,42.3001112550462
9,40.2105068932101
10,61.3144963181562
11,36.1703260564189
12,54.3685625389469
13,31.7890068395171
14,26.7392183289116
15,47.5525884258134
16,57.3540444635446
17,84.980928759828
18,77.3513123418367
19,79.7692530723542
20,90.4587729641481
21,82.5596985683419
22,97.5928799875606
23,77.843064374159
24,63.3613884041752
25,90.7997550113086
26,96.1827698364991
27,88.2254749608515
28,89.4065812408986
29,103.258735726396
30,103.631285944588
31,105.511459362398
32,110.043255709769
33,94.5713059847856
34,99.2294995286872
35,114.711086205529
36,125.463658397118
37,140.771295560578
38,147.101096977591
39,136.783735484739
40,128.23730782055
41,129.935298503546
42,142.812570581807
43,134.020000218998
44,158.829447912959
45,151.218525123311
46,164.640488174074
47,170.794678015217
48,159.56402170552
49,176.971995129596
50,177.487081368678
51,153.86023359755
52,158.583836357162
53,155.399134816889
54,171.636694565737
55,201.699769058077
56,210.502926444032
57,208.204666516589
58,220.582628259806
59,213.288473216839
60,188.883525062838
61,158.459007112296
62,183.044134455102
63,195.547114482664
64,210.471850163326
65,254.253402570778
66,241.293643331142
67,241.55636947397
68,246.844534675956
69,227.585648744396
70,197.63330875037
71,187.287242452434
72,214.412111015566
73,234.113318959245
74,243.641835521755
75,285.09155286339
76,271.615308850296
77,293.405078040964
78,245.903204209975
79,236.336465748571
80,228.839473553048
81,231.969210815146
82,260.626320072687
83,272.862905768177
84,287.766521609778
85,337.901995782747
86,311.615023730361
87,295.213070605596
88,252.573703152792
89,269.131807280449
90,263.933582337708
91,276.963518600975
92,297.56228890471
93,320.920862658269
94,337.298313200588
95,335.109123151669
96,329.335105440177
97,289.372781291878
98,283.142688218734
99,274.341806301866
100,297.979298263613
