X,Y
-30,-230.774483600551
-29,-227.575456588254
-28,-190.096019311724
-27,-196.735924723992
-26,-173.259238863993
-25,-170.369025457414
-24,-149.387046825806
-23,-150.48675586769
-22,-147.297291651233
-21,-119.636753542832
-20,-136.407398906675
-19,-108.527606786368
-18,-121.587658513438
-17,-119.11395641217
-16,-94.1056819079296
-15,-83.5405662424855
-14,-57.2418117095663
-13,-65.9768173622223
-12,-62.1438284690542
-11,-46.3296464269927
-10,-45.991623571957
-9,-21.8939624392073
-8,-34.8248794731473
-7,-47.2444164547109
-6,-23.2430718461858
-5,-25.2788134602114
-4,-41.3686564968604
-3,-45.3671662964728
-2,-31.3119202476852
-1,-25.3519381526795
0,-15.098528040671
1,-3.61221792877383
2,-17.5734708234198
3,-18.8754974361822
4,-15.8218573042169
5,-20.1978314523148
6,-17.7091262913743
7,-17.7989556096038
8,-26.8395962916868
9,-28.6357269680095
10,-19.6537802352735
11,-4.56324849027584
12,-20.0314987381818
13,-11.0414697634751
14,-40.0248120374766
15,-47.5000133709801
16,-55.8526510243918
17,-72.0121557586035
18,-51.0183884063439
19,-43.4296983156336
20,-63.4381784810603
21,-64.4352143631499
22,-84.8755225641297
23,-94.8273771735911
24,-93.4465305636421
25,-108.218599606838
26,-123.516160971676
27,-112.698109543261
28,-114.397725480462
29,-133.791698994162
30,-167.712482942442
