X,Y
1,-9.15117092386547
2,-14.4137483948769
3,3.443947643601
4,-7.8445847771202
5,1.21127698367067
6,-3.19050955781915
7,4.73554738404388
8,-1.79285412308779
9,-5.19514012465862
10,7.98328980173318
11,-8.19240258670461
12,5.66553001429117
13,-7.50309994963141
14,-10.0492273613285
15,2.69436016228972
16,6.07584179337684
17,20.2130826694473
18,11.2611500884677
19,10.9545472047041
20,18.9020730868695
21,16.7988261776843
22,30.8020047869752
23,20.3861312851395
24,10.5778444848882
25,25.3168120780292
26,22.9643888561365
27,11.5092313524949
28,8.38162934021097
29,17.5565312268604
30,21.6012571443219
31,28.7749350731186
32,37.0372130018411
33,28.6011155928681
34,28.8711690384842
35,32.3116669805855
36,31.0657554026446
37,34.6629633640626
38,36.807815006034
39,33.2521257387697
40,34.7927764753456
41,43.7854788179606
42,57.1172378354168
43,50.3431421909371
44,60.141232694866
45,44.8904090329893
46,44.245012664778
47,43.2813254166279
48,37.3797267812778
49,56.5136428702419
50,66.9775074515065
51,59.3099251953464
52,64.5833057947444
53,57.1611715148822
54,56.9980062960323
55,64.6566418901227
56,61.81333371545
57,58.8863639930152
58,73.6364694660833
59,80.3081300287399
60,75.4502188737313
61,61.1744340956692
62,75.0674148167353
63,72.9129975819315
64,68.3982893226046
65,85.0284084212976
66,70.9738944558518
67,75.1611526454465
68,90.3694461180279
69,91.7313323005601
70,82.0794072639705
71,76.7147457336949
72,86.3318006095246
73,84.1040112982476
74,74.3904141039572
75,91.9232690284497
76,83.061229239594
77,107.857859602855
78,92.1190696524371
79,100.262386822636
80,101.73932068656
81,98.9428012891077
82,103.345617840357
83,92.8248879916936
84,87.8189353619314
85,116.316257180561
86,105.962497775566
87,111.176695827299
88,100.788635781445
89,123.681970182702
90,120.311772369117
91,116.732599777212
92,110.583604823796
93,106.811636518279
94,107.021662122231
95,108.021224825141
96,118.719877744443
97,112.37530791871
98,125.303603228559
99,125.544931119477
100,133.274437141298
