X,Y
1,-9.151170924
2,-14.41374839
3,3.443947644
4,-7.844584777
5,1.211276984
6,-3.190509558
7,4.735547384
8,-1.792854123
9,-5.195140125
10,7.983289802
11,-8.192402587
12,5.665530014
13,-7.50309995
14,-10.04922736
15,2.694360162
16,6.075841793
17,20.21308267
18,11.26115009
19,10.9545472
20,18.90207309
21,16.79882618
22,30.80200479
23,20.38613129
24,10.57784448
25,25.31681208
26,22.96438886
27,11.50923135
28,8.38162934
29,17.55653123
30,21.60125714
31,28.77493507
32,37.037213
33,28.60111559
34,28.87116904
35,32.31166698
36,31.0657554
37,34.66296336
38,36.80781501
39,33.25212574
40,34.79277648
41,43.78547882
42,57.11723784
43,50.34314219
44,60.14123269
45,44.89040903
46,44.24501266
47,43.28132542
48,37.37972678
49,56.51364287
50,66.97750745
51,59.3099252
52,64.58330579
53,57.16117151
54,56.9980063
55,64.65664189
56,61.81333372
57,58.88636399
58,73.63646947
59,80.30813003
60,75.45021887
61,61.1744341
62,75.06741482
63,72.91299758
64,68.39828932
65,85.02840842
66,70.97389446
67,75.16115265
68,90.36944612
69,91.7313323
70,82.07940726
71,76.71474573
72,86.33180061
73,84.1040113
74,74.3904141
75,91.92326903
76,83.06122924
77,107.8578596
78,92.11906965
79,100.2623868
80,101.7393207
81,98.94280129
82,103.3456178
83,92.82488799
84,87.81893536
85,116.3162572
86,105.9624978
87,111.1766958
88,100.7886358
89,123.6819702
90,120.3117724
91,116.7325998
92,110.5836048
93,106.8116365
94,107.0216621
95,108.0212248
96,118.7198777
97,112.3753079
98,125.3036032
99,125.5449311
100,133.2744371
50,300
