X,Y,CLASE
0.49952974944231027,0.5498588055763493,C1
0.4974943650865909,0.5572113549248293,C1
0.5017916336109669,0.5475594789548385,C1
0.5074806069162996,0.5381042337410045,C1
0.5244307393311364,0.5360744971450452,C1
0.5275788848854004,0.5045945073170686,C1
0.5336636624537897,0.4910182941236793,C1
0.5151952663071829,0.4627443684562283,C1
0.5257905358985842,0.4539109945504753,C1
0.49723863584152916,0.4402964876818005,C1
0.4879165703561511,0.4383111375009405,C1
0.47895464796401566,0.41485469476417786,C1
0.45119632890848727,0.42792379535867986,C1
0.420989578330458,0.40255545252732533,C1
0.4049568146680721,0.4223926354978879,C1
0.3918225148871042,0.42428626341407266,C1
0.3852627284595391,0.4332575318680682,C1
0.38328778514630274,0.45072522581946456,C1
0.36097112239110013,0.4920286609248497,C1
0.3688620791718835,0.5017156758684949,C1
0.3594093293626812,0.5317740992110396,C1
0.3615313146725926,0.5493500981552992,C1
0.36247381048951366,0.5782520751722018,C1
0.36384974557606886,0.592932999686463,C1
0.36128018708248866,0.5964736084878053,C1
0.35907958687649555,0.6543942595794152,C1
0.37412447376729696,0.6594738810889134,C1
0.3829721464853692,0.7021058856281662,C1
0.3911181700711732,0.7149307368480944,C1
0.41217554106413484,0.749843003721313,C1
0.41508615214443956,0.7525778427503532,C1
0.43379785405743354,0.7642990217910585,C1
0.4432758766969162,0.7601504526591089,C1
0.4649076676815412,0.7620049995520576,C1
0.48507725320323364,0.7784264731014992,C1
0.5070886945098051,0.7752674802312087,C1
0.5159689661868634,0.7739458324469514,C1
0.5343130246760798,0.7703821983084986,C1
0.5457399485244557,0.7544983629390832,C1
0.5714684176212368,0.7475751010781287,C1
0.5977067205166309,0.7258922948476038,C1
0.599006981143528,0.7123183684911683,C1
0.6002626511767525,0.6619004270111272,C1
0.6279916427100017,0.6226512801039793,C1
0.630152041560029,0.6124397729815207,C1
0.6439821423805816,0.5599241451006566,C1
0.6543418448403627,0.5161056560375497,C1
0.655194380381198,0.4989518525435672,C1
0.6631402770135989,0.4770539986866064,C1
0.664300843545123,0.45865440193763457,C1
0.6565002309569297,0.4101554903902691,C1
0.6714285742964112,0.390882732662314,C1
0.6710844277072577,0.3520592136300084,C1
0.6613092751873224,0.3330049545328124,C1
0.6544092715329078,0.2883887620398198,C1
0.6436711478385695,0.2784600833900304,C1
0.622048818984725,0.2375972046853637,C1
0.5827167293242536,0.20748762595449916,C1
0.5498210818677454,0.17723045675879912,C1
0.5188189898441233,0.17562921549790197,C1
0.4750474698188602,0.15241574436586044,C1
0.46126318613477174,0.14340821490733435,C1
0.4327095198898378,0.13929125155914612,C1
0.40613403668105014,0.14388197114947215,C1
0.37100852076460683,0.13303338898136283,C1
0.33824307478552545,0.13192695478444894,C1
0.2939378389603017,0.14398283260610872,C1
0.26507759012140514,0.1489886075577778,C1
0.2130805576043725,0.15898738386630112,C1
0.17962791404588527,0.183650076390168,C1
0.14818419949759556,0.21680945072186228,C1
0.13655698352540724,0.22328078197374077,C1
0.12304336564900036,0.2565252413413722,C1
0.09047135057873099,0.26812550905837484,C1
0.08929516009019092,0.2952043900723436,C1
0.09343548857635066,0.31907897324148393,C1
0.08182189090500831,0.3405214087215476,C1
0.0705873378008049,0.37625936857792247,C1
0.07054217303379023,0.38570613014165434,C1
0.07095285315939603,0.3961674670634404,C1
0.0796549030149013,0.38427295844047327,C1
0.07967546566734834,0.39072092594381674,C1
0.06643938809679659,0.3985300763307195,C1
0.07186091295725036,0.4170423002299746,C1
0.057014130337431766,0.42118061698721576,C1
0.06165859347584251,0.4537589115241767,C1
0.06191848526896435,0.4785469369223833,C1
0.056127146501448254,0.5129584713696352,C1
0.06556758536636745,0.5474371031019384,C1
0.05262456646322408,0.5767010754155342,C1
0.0631456085339742,0.591144010335416,C1
0.06500580924364757,0.5931681991361402,C1
0.06429645790065251,0.5844606384533538,C1
0.06888248658379612,0.5649593748260295,C1
0.06129069268791909,0.5139792992687676,C1
0.05364555798456196,0.46523544378651943,C1
0.07982772973010632,0.4242400239278429,C1
0.07199097190518522,0.4105287614520913,C1
0.08753329859063606,0.3242333141953045,C1
